Date,Open,High,Low,Close,Adj Close
2001-01-25,356.730774,362.980774,352.403839,353.365387,197.122452
2001-01-26,357.211548,360.096161,342.788452,343.269226,191.49023400000002
2001-01-29,345.153839,355.769226,338.461548,341.384613,190.43901100000002
2001-01-30,344.30767799999995,355.923065,341.69232200000005,355.769226,198.463318
2001-01-31,359.615387,361.153839,350.461548,353.69232200000005,197.304749
2001-02-01,357.69232200000005,359.461548,353.076935,355.615387,198.377579
2001-02-02,355.769226,360.769226,352.69232200000005,356.0,198.592056
2001-02-05,356.769226,370.0,354.230774,368.076935,205.32913200000002
2001-02-06,368.076935,369.923065,363.076935,366.153839,204.256348
2001-02-07,366.69232200000005,367.69232200000005,358.615387,361.153839,201.467194
2001-02-08,367.30767799999995,370.384613,361.769226,362.615387,202.282379
2001-02-09,362.615387,362.69232200000005,349.153839,351.230774,195.93161
2001-02-12,351.230774,367.846161,351.230774,365.461548,203.870148
2001-02-13,366.615387,369.153839,362.538452,362.769226,202.36816399999998
2001-02-14,362.769226,363.0,354.769226,355.846161,198.506271
2001-02-15,356.153839,370.0,355.0,369.076935,205.88696299999998
2001-02-16,357.69232200000005,364.076935,355.846161,361.538452,201.681686
2001-02-20,363.076935,371.615387,362.846161,366.846161,204.64257800000001
2001-02-21,366.923065,372.69232200000005,363.230774,363.846161,202.969009
2001-02-22,364.230774,365.384613,354.30767799999995,362.30767799999995,202.110779
2001-02-23,358.076935,361.538452,346.30767799999995,355.230774,198.16304
2001-02-26,361.538452,369.30767799999995,355.384613,369.076935,205.88696299999998
2001-02-27,365.230774,369.230774,361.538452,369.230774,205.972702
2001-02-28,369.230774,371.076935,350.769226,357.69232200000005,199.536133
2001-03-01,350.0,354.384613,345.461548,353.153839,197.00436399999998
2001-03-02,348.846161,351.230774,342.461548,342.846161,191.254257
2001-03-05,344.230774,348.923065,343.076935,346.769226,194.139679
2001-03-06,355.769226,358.461548,348.615387,349.384613,195.603882
2001-03-07,349.769226,355.846161,349.769226,353.69232200000005,198.015549
2001-03-08,355.0,356.615387,346.153839,352.846161,197.54187
2001-03-09,348.076935,349.0,334.230774,337.0,188.670303
2001-03-12,330.769226,333.076935,296.923065,304.615387,170.539658
2001-03-13,319.230774,326.923065,313.461548,325.615387,182.296677
2001-03-14,313.461548,325.0,308.461548,315.615387,176.698151
2001-03-15,319.230774,321.923065,313.076935,316.0,176.913452
2001-03-16,310.769226,321.153839,308.461548,312.30767799999995,174.84638999999999
2001-03-19,313.076935,320.153839,308.846161,316.153839,176.999619
2001-03-20,319.230774,323.846161,307.69232200000005,308.076935,172.477631
2001-03-21,308.076935,312.30767799999995,299.0,300.0,167.955795
2001-03-22,298.076935,298.538452,280.153839,290.0,162.357269
